_ - id,_ - cap,_ - comune,_ - indirizzo,lat,lon,_ - codice_nazione,_ - servizi_mobile_payment,_ - fatturazione_elettronica
5213,63170,Aubiere,38-40 Avenue Du Roussillon,45.750217,3.133166,FRA,false,false
5214,30100,Ales,2 Avenue Vincent D'indy,44.134435,4.091747,FRA,false,false
5215,21230,Arnay-le-duc,10 Bis Rue Claude Guyot,47.129161,4.489,FRA,false,false
5216,13090,Aix En Provence,67 Rue De Lattre De Tassigny,43.542864,5.4318,FRA,false,false
5217,74000,Annecy,4 Bis Chemin Des Allueges,45.909939,6.117955,FRA,false,false
5218,74000,Annecy,17 Avenue De Chambery,45.898238,6.116659,FRA,false,false
5219,69480,Anse,831 Route De Villefranche,45.944514,4.714741,FRA,false,false
5220,73390,Chateauneuf,A43 Aire De Arclusaz,45.548789,6.157811,FRA,false,false
5221,37270,Athee Sur Cher,A85 Aire Du Val De Cher,47.302311,0.889311,FRA,false,false
5222,45190,Messas,A10 Aire De Beaugency Messas*,47.81866,1.639263,FRA,false,false
5223,25720,Beure,22 Route De Lyon,47.207217,5.999183,FRA,false,false
5224,34500,Beziers,Route De Pezenas,43.358334,3.244013,FRA,false,false
5225,67800,Bischheim,79 Route De Bischwiller,48.61797,7.754389,FRA,false,false
5226,18500,Marmagne,A71 Aire De Bourges Marmagne,47.094861,2.243228,FRA,false,false
5227,71140,Bourbon Lancy,47 Avenue Emile Et Claude Puzenat,46.624703,3.755099,FRA,false,false
5228,38300,Bourgoin Jallieu,Rn 6 La Maladiere,45.585569,5.262478,FRA,false,false
5230,83440,Callian,Rd 562,43.606983,6.749024,FRA,false,false
5231,83170,Brignoles,A8 Aire De Cambarette Nord,43.423526,5.992559,FRA,false,false
5232,34300,Agde,8 Avenue Des Sergents,43.285041,3.513801,FRA,false,false
5233,33840,Captieux,A65 Aire De CŒur D'aquitaine,44.285416,-0.23038,FRA,false,false
5234,73730,Cevins,Rn 90,45.593444,6.448116,FRA,false,false
5235,71150,Chagny,Rn 6,46.921776,4.74737,FRA,false,false
5236,71100,Chalon Sur Saone,20-22 Avenue Monot,46.789867,4.861173,FRA,false,false
5237,69410,Champagne Au Mont D'or,3 Avenue GÉnÉral De Gaulle,45.800972,4.785831,FRA,false,false
5238,69260,Charbonnieres,51-55 Route De Paris,45.78416,4.749472,FRA,false,false
5239,69260,Charbonnieres,80 Route De Paris,45.778984,4.750981,FRA,false,false
5241,63000,Clermont Ferrand,2 Avenue Marx Dormoy,45.771783,3.080841,FRA,false,false
5242,68000,Colmar,42 Route D'ingersheim,48.084075,7.345734,FRA,false,false
5243,74960,Cran Gevrier,20 Route Des Creuses,45.894297,6.106873,FRA,false,false
5244,26400,Crest,Rue Adrien Fayolle,44.726238,5.029828,FRA,false,false
5245,71200,Le Creusot,75 Route De Montcenis,46.80017,4.406527,FRA,false,false
5246,88000,Epinal,51 Route De Remiremont,48.159979,6.450995,FRA,false,false
5247,45300,Escrennes,Echangeur D'escrennes,48.11645,2.189726,FRA,false,false
5248,42000,St Etienne,114-116 Rue Des Acieries,45.45986,4.396485,FRA,false,false
5249,42000,Saint Etienne,21 Rue Necker,45.457142,4.406195,FRA,false,false
5250,74500,Evian Les Bains,9 Avenue Anna De Noailles,46.399028,6.579578,FRA,false,false
5251,38320,Eybens,40 Avenue Jean Jaures,45.162714,5.743662,FRA,false,false
5254,57450,Farebersviller,37 Grande Rue,49.117196,6.884741,FRA,false,false
5255,17350,Fenioux,A10 Aire De Fenioux Ouest,45.894633,-0.60319,FRA,false,false
5256,73182,Mouxy,Aire De Service De Mouxy,45.674333,5.929394,FRA,false,false
5257,68200,Mulhouse,184 Route De Belfort,47.739652,7.300456,FRA,false,false
5258,68200,Mulhouse,151 Avenue De Colmar,47.758437,7.329879,FRA,false,false
5259,75016,Paris,4 Avenue Foch,48.873704,2.291718,FRA,false,false
5260,19600,St Pantaleon De Larche,A89 Aire Du Pays De Brive,45.160513,1.439622,FRA,false,false
5261,46600,Cressensac,A20 Aire De Pech Montat,45.032725,1.524669,FRA,false,false
5262,13170,Les Pennes Mirabeau,Rn 113,43.411149,5.309727,FRA,false,false
5263,88200,St Nabord,Aire De Service De Peuxy,48.079467,6.595115,FRA,false,false
5264,26380,Peyrins,Quartier Les Escoffers,45.085521,5.0476,FRA,false,false
5265,86130,Jaunay-clan,A10 Aire De Poitiers Chince Nord,46.70162,0.37178,FRA,false,false
5266,68520,Burnhaupt Le Bas,A36 Aire De Portes D'alsace Sud,47.715515,7.137504,FRA,false,false
5267,26800,Portes Les Valences,15 Avenue Jean JaurÈs,44.8787,4.878155,FRA,false,false
5268,77160,Provins,16 Avenue General De Gaulle,48.559395,3.286545,FRA,false,false
5269,83480,Le Puget Sur Argens,Rn 7 La Tuiliere,43.442249,6.703712,FRA,false,false
5270,60490,Ressons Sur Matz,A1 Aire De Ressons Ouest,49.518996,2.719592,FRA,false,false
5271,38690,Le Grand Lemps,Echangeur De Rives,45.384592,5.472381,FRA,false,false
